num,title
29,American Review of Canadian Studies
423,The Indian Economic and Social History Review
98,Current Anthropology
115,European History Quarterly
455,The Review of Politics
12,African Studies Review
45,Archives of Natural History
426,The Journal of African History
481,Victorian Periodicals Review
309,Nationalities Papers
232,Journal of Jesuit Studies
437,The Journal of Legal History
392,Studies in World Christianity
74,Central European History
400,The American Historical Review
91,Contemporary South Asia
236,Journal of Medical Biography
47,Archivo Espanol De Arte
114,Europe-Asia Studies
428,The Journal of Architecture
324,Palestine Exploration Quarterly
464,Theatre Journal
184,Interventions
130,Geographical Review
84,Cold War History
371,Source: Notes in the History of Art
70,Cahiers Du Monde Russe
461,The Urban Book Series
380,Sport in History
355,Review of Middle East Studies
235,Journal of Maritime Archaeology
439,The Journal of New Zealand Studies
422,The History of the Family
341,Presidential Studies Quarterly
218,Journal of Cold War Studies
62,Bulletin of Spanish Studies
473,University of Toronto Quarterly
361,Scandinavian Studies
282,Land Use Policy
7,African American Review
141,Hesperia
403,The Arkansas Historical Quarterly
19,American Journal of Archaeology
278,Knygotyra
410,The China Quarterly
258,Journal of Transatlantic Studies
134,Global Intellectual History
353,Rethinking History
110,Environment and Planning A
255,Journal of Sport History
196,Jewish Culture and History
180,International Journal of Nautical Archaeology
92,Continuity and Change
307,Monumenta Nipponica
313,Nineteenth-Century Contexts
48,Art in America
311,Neophilologus
205,Journal of American Folklore
35,Anuario De Estudios Medievales
373,South Asian History and Culture
174,International Bulletin of Mission Research
166,Housing Studies
117,European Journal of Archaeology
375,Southeastern Archaeology
317,Notes
451,The Oriental studies
465,Theatre Survey
290,Marine Policy
26,American Nineteenth Century History
265,Journal of the American Musicological Society
213,Journal of Australian Studies
295,Medieval Encounters
424,The International History Review
433,The Journal of Hellenic Studies
24,American Literary History
489,Western Historical Quarterly
137,Greek Roman and Byzantine Studies
395,Tel Aviv
17,American Communist History
289,"Magic, Ritual, and Witchcraft"
343,Quaderni Storici
27,American Political Thought
72,Canadian-american Slavic Studies
466,Theological Studies
146,Historical Archaeology
58,Bibliothecae.it
358,Revolutionary Russia
281,Labour History Review
335,Political Studies Review
51,Asian Social Science
329,Patterns of Prejudice
16,American Antiquity
472,Twentieth Century British History
120,European Review of Economic History
150,History
41,Architectural History
229,Journal of Genocide Research
276,Journalism History
21,American Journal of Legal History
197,Jewish History
81,Classical Philology
126,"Food, Culture & Society"
435,The Journal of Island and Coastal Archaeology
384,Studi Storici
75,China perspectives
187,Irish Economic and Social History
153,History Workshop Journal
333,Ploughshares
10,African Historical Review
216,Journal of Black Studies
242,Journal of Modern Jewish Studies
483,Vigiliae Christianae
385,Studia Slavica et Balcanica Petropolitana
382,Starinar
381,Sport in Society
357,Revista De Indias
28,American Quarterly
80,City
125,Folklore
284,Latin American Antiquity
86,Comparative Legal History
119,European Review
170,Indian Historical Review
376,Southern Cultures
486,War in History
162,History of Political Thought
243,Journal of Moravian History
6,Africa
494,Yorkshire Archaeological Journal
204,Journal of African Diaspora Archaeology and Heritage
321,Oxford Journal of Archaeology
208,Journal of Anthropological Archaeology
327,Parliamentary History
399,Textile History
336,Political Theory
219,Journal of Contemporary European Studies
188,Irish Historical Studies
155,History and Theory
228,Journal of Family History
339,Post-Medieval Archaeology
132,German Studies Review
450,The Oral History Review
460,The Sixties
326,Parergon
215,Journal of Biblical Literature
145,Historia Mexicana
5,Acta Poloniae Historica
165,Holocaust and Genocide Studies
304,Modern Language Review
239,Journal of Modern Chinese History
299,Midland History
478,Vegetation History and Archaeobotany
454,The RUSI Journal
103,Early Medieval Europe
123,Financial History Review
398,Terrae Incognitae
9,African Economic History
127,French History
96,Cultural Geographies
279,Labor History
470,Turkish Historical Review
248,Journal of Religious History
32,Antipode
25,American Music
405,The Black Scholar
344,Quaerendo
288,Levant
362,Scottish affairs
270,Journal of the History of Medicine and Allied Sciences
463,The Wordsworth Circle
175,International Journal of African Historical Studies
164,History of Science
316,Norwegian Archaeological Review
64,Bulletin of the History of Medicine
469,Transactions of the Royal Historical Society
442,The Journal of Slavic Military Studies
18,American Jewish History
31,Annals of the American Association of Geographers
493,World Archaeology
138,HTS Teologiese Studies / Theological Studies
484,Visual Culture in Britain
312,New Testament Studies
107,Economic Geography
269,Journal of the History of Ideas
257,Journal of Tourism History
128,Frontiers of History in China
338,Popular Music and Society
306,Monthly Review
436,The Journal of Japanese Studies
195,JOURNAL OF ANCIENT HISTORY AND ARCHAEOLOGY
491,Women's Studies
303,Modern Italy
191,Isis
495,Zograf
414,The Economic History Review
99,Dialogues D'histoire Ancienne
173,Intelligence and National Security
189,Irish Studies Review
359,Scandinavian Economic History Review
485,War & Society
129,Geoforum
331,Philippine Studies: Historical and Ethnographic Viewpoints
390,Studies in Philology
214,Journal of Baltic Studies
82,Classical World
109,Environment and History
274,Journal of the Society for American Music
388,Studies in History
37,Archaeological and Anthropological Sciences
221,Journal of Contemporary Religion
432,The Journal of Egyptian Archaeology
20,American Journal of International Law
480,Victorian Literature and Culture
95,Critical Sociology
233,Journal of Landscape Architecture
14,Al-qantara
104,Early Popular Visual Culture
347,Reference and User Services Quarterly
61,Bulletin of Hispanic Studies
163,History of Religions
4,Accounting History Review
247,Journal of Policy History
199,Journal for Eighteenth-century Studies
346,Radiocarbon
365,Settler Colonial Studies
56,Berkeley Planning Journal
76,Chinese Studies in History
