num,title
47,Aphasiology
470,Journal of Motor Behavior
741,Research on child and adolescent psychopathology
873,Violence and Victims
700,Psychology and Aging
288,Health Education Journal
763,Sex Roles
113,Brain and Language
744,Revista De Cercetare Si Interventie Sociala
281,Frontiers in Psychology
256,European Journal of Psychological Assessment
294,Health communication
459,Journal of Interpersonal Violence
832,The Journal of Early Adolescence
546,"Journal of experimental psychology. Learning, memory, and cognition"
851,The Qualitative Report
813,The American psychologist
408,Journal of Consulting and Clinical Psychology
643,Perceptual and Motor Skills
179,Consciousness and Cognition
28,American Journal of Health Promotion
82,Australian Social Work
146,Clinical Child and Family Psychology Review
289,Health Psychology
555,Journal of pediatric psychology
463,Journal of Learning Disabilities
423,Journal of Economic Behavior and Organization
214,Discourse Processes
655,Polish Psychological Bulletin
616,Neurocase
159,Cognitive Neuropsychology
370,Journal of Applied Social Psychology
488,Journal of Psychoeducational Assessment
844,The Journal of applied psychology
809,The American Journal of Psychoanalysis
568,Journal of the International Neuropsychological Society
128,Child Maltreatment
177,Community Mental Health Journal
349,International Journal of Speech-Language Pathology
376,Journal of Behavioral Education
202,Depression and Anxiety
761,Self and Identity
364,Journal of Affective Disorders
80,Australian Journal of Psychology
39,American journal on intellectual and developmental disabilities
841,The Journal of Sex Research
528,Journal of applied behavior analysis
512,Journal of Social Work Practice
447,Journal of Gerontological Social Work
708,Psychology of Sport and Exercise
100,Behaviour research and therapy
561,Journal of studies on alcohol and drugs
679,Psychological Injury and Law
706,Psychology of Music
517,Journal of Spirituality in Mental Health
352,International Psychogeriatrics
402,Journal of College Student Psychotherapy
664,Psihologija
81,Australian Psychologist
861,Topics in Language Disorders
452,Journal of Homosexuality
280,Frontiers in Human Neuroscience
453,Journal of Human Behavior in the Social Environment
211,Developmental science
5,Accident; analysis and prevention
699,Psychology Research and Behavior Management
277,Folia Phoniatrica et Logopaedica
68,Art Therapy
551,Journal of marriage and the family
820,The Clinical Neuropsychologist
650,Perspectives on Medical Education
793,South African Journal of Psychology
467,Journal of Medical Ethics
491,Journal of Psychology in Africa
328,International Journal of Communication
292,Health Psychology Review
474,Journal of Obsessive-Compulsive and Related Disorders
541,Journal of experimental child psychology
863,Traffic Injury Prevention
144,Clinical Case Studies
612,Nature Human Behaviour
800,Sustainability
862,Topics in cognitive science
126,Child Indicators Research
745,SAGE Open
101,Behavioural Neurology
725,Quarterly Journal of Experimental Psychology
366,Journal of Applied Developmental Psychology
720,Psychotherapy and Psychosomatics
302,Human Nature
89,Behavior Modification
848,The Open Psychology Journal
611,Musicae Scientiae
170,Collegium antropologicum
557,Journal of personality and social psychology
323,International Journal of Audiology
6,Acta Psychologica Sinica
460,Journal of Korean Academy of Psychiatric and Mental Health Nursing
94,Behavioral Interventions
703,Psychology in the Schools
405,Journal of Community Psychology
879,Youth Violence and Juvenile Justice
383,Journal of Career Assessment
446,Journal of Gambling Studies
4,Academic Psychiatry
155,Cognition and Emotion
112,Brain and Cognition
689,"Psychological Trauma: Theory, Research, Practice, and Policy"
396,Journal of Cognition and Culture
219,Early Childhood Education Journal
853,The Social Sciences
403,Journal of Communication
409,Journal of Consumer Psychology
108,"Body, Movement and Dance in Psychotherapy"
442,Journal of Family Therapy
635,Organizational Behavior and Human Decision Processes
375,Journal of Behavioral Decision Making
279,Frontiers in Behavioral Neuroscience
502,Journal of Research in Music Education
692,Psychological medicine
356,Intervention
748,Safety Science
681,Psychological Medicine
220,Early Childhood Research Quarterly
775,Social Indicators Research
593,Medical Humanities
538,Journal of contextual behavioral science
857,Therapeutic Advances in Psychopharmacology
670,Psychoanalytic Inquiry
60,Applied psychology. Health and well-being
486,Journal of Pragmatics
129,Child Neuropsychology
21,Aggressive Behavior
407,Journal of Constructivist Psychology
147,Clinical Gerontologist
631,Nurse education in practice
40,Anales De Psicologia
266,Evolution and Human Behavior
92,Behavior therapy
57,Applied Research in Quality of Life
304,Human Relations
319,International Gambling Studies
880,i-Perception
783,Social Sciences
73,Assessment
115,British Journal of Psychotherapy
232,Educational Psychology
821,The Clinical Supervisor
530,Journal of autism and developmental disorders
709,Psychology of Violence
623,Neuropsychology Review
496,Journal of Public Child Welfare
831,The Journal for Specialists in Group Work
779,Social Psychological and Personality Science
792,Social work
189,"Culture, Medicine, and Psychiatry"
215,Drug and alcohol review
9,Addictive Behaviors Reports
842,The Journal of Social Psychology
766,Sexualities
261,European Journal of Work and Organizational Psychology
334,International Journal of Educational Research
838,"The Journal of Mental Health Training, Education and Practice"
448,Journal of Happiness Studies
357,Irish Journal of Psychological Medicine
877,Western Journal of Communication
660,Psicologia Em Estudo
77,"Attention, Perception, & Psychophysics"
174,Communication Research
414,Journal of Counseling and Development
773,Social Cognitive and Affective Neuroscience
392,Journal of Clinical Psychology in Medical Settings
308,Industrial and Organizational Psychology
391,Journal of Children and Media
329,International Journal of Comparative Psychology
760,Seeing and Perceiving
347,International Journal of Sexual Health
186,Counselling and Psychotherapy Research
617,Neuroethics
641,Patient preference and adherence
401,Journal of College Student Development
125,Child Development Perspectives
781,Social Psychology of Education
24,Alcohol
529,Journal of applied research in memory and cognition
218,Early Child Development and Care
592,Medical Education
443,Journal of Family Violence
59,Applied neuropsychology. Adult
468,Journal of Memory and Language
814,The Behavioral and brain sciences
572,Journal of traumatic stress
310,Infant Observation
267,Evolutionary Psychological Science
787,Social Work with Groups
503,Journal of Research in Personality
856,Theory and Practice in Language Studies
27,American Journal of Criminal Justice
388,Journal of Child Psychotherapy
536,Journal of comparative psychology
49,Applied Cognitive Psychology
44,Annals of the New York Academy of Sciences
509,Journal of Social Service Research
686,Psychological Services
359,Journal of Abnormal Child Psychology
208,Developmental Review
500,Journal of Reproductive and Infant Psychology
665,PsyCh journal
285,Group Analysis
207,Developmental Psychology
239,Emotion
762,Sex Education
282,Frontiers in Sports and Active Living
419,Journal of Drug Issues
506,Journal of Risk Research
333,International Journal of Dream Research
379,Journal of Black Psychology
15,Advances in Health Sciences Education
454,Journal of Humanistic Psychology
371,Journal of Applied Sport Psychology
478,Journal of Organizational Behavior
338,International Journal of Industrial Ergonomics
433,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
415,Journal of Creativity in Mental Health
3,Academic Medicine
274,Family Relations
34,American journal of community psychology
654,Philosophical Studies
684,Psychological Research
238,Emerging Adulthood
464,Journal of Loss and Trauma
339,International Journal of Integrated Care
733,Remedial and Special Education
651,Perspectives on Psychological Science
615,Neurobiology of Learning and Memory
176,Communication Studies
107,Body image
634,Omega
293,Health Psychology and Behavioral Medicine
337,International Journal of Inclusive Education
827,The International Journal for the Psychology of Religion
713,Psychopathology
386,Journal of Child Language
518,Journal of Substance Use
849,The Psychoanalytic Quarterly
519,Journal of Urban Health
696,Psychological review
411,Journal of Contemporary Psychotherapy
362,Journal of Adolescent Research
644,Personal Relationships
570,Journal of the experimental analysis of behavior
148,Clinical Psychological Science
75,Assessment for Effective Intervention
259,European Journal of Social Work
243,Ergonomics
662,Psicologica
618,Neuropsychobiology
271,Experimental psychology
363,Journal of Adult Development
165,Cognitive Therapy and Research
637,Palliative and Supportive Care
52,Applied Neuropsychology: Child
270,Experimental Aging Research
485,Journal of Positive Behavior Interventions
865,Transcultural Psychiatry
843,The Journal of analytical psychology
51,Applied Neuropsychology: Adult
876,Vulnerable Children and Youth Studies
61,Archives of Clinical Neuropsychology
691,Psychological bulletin
185,Counselling Psychology Quarterly
53,Applied Psycholinguistics
230,Education and Treatment of Children
213,Dialogue
58,Applied ergonomics
639,Partner Abuse
472,Journal of Neurolinguistics
99,Behaviour Change
805,Teaching of Psychology
806,Terapevticheskii arkhiv
365,Journal of Alzheimer's Disease
846,The Journal of the Acoustical Society of America
770,Smith College Studies in Social Work
373,Journal of Autism and Developmental Disorders
537,Journal of consulting and clinical psychology
380,Journal of Business Ethics
636,Pakistan Journal of Psychological Research
54,Applied Psychological Measurement
241,Emotional and Behavioural Difficulties
55,Applied Psychology
422,Journal of Early Intervention
573,Journal of veterinary medical education
368,Journal of Applied Research in Intellectual Disabilities
697,Psychological services
785,Social Work in Mental Health
640,Pastoral Psychology
354,International journal of law and psychiatry
105,Biology of Sex Differences
224,Eating and Weight Disorders
192,Current Directions in Psychological Science
600,Mental Health and Physical Activity
305,Human movement science
772,Social Cognition
625,Neuroscience of Consciousness
217,Dyslexia
493,Journal of Psychophysiology
498,Journal of Racial and Ethnic Health Disparities
78,"Attention, perception & psychophysics"
324,International Journal of Behavioral Development
410,Journal of Consumer Research
731,Religion
50,Applied Developmental Science
595,Medical Teacher
711,Psychology. Journal of the Higher School of Economics
574,Journal of youth and adolescence
322,International Journal of Art Therapy
688,Psychological Thought
818,The British journal of social psychology
728,Rehabilitation Counseling Bulletin
497,Journal of Quantitative Criminology
426,Journal of Educational Psychology
466,Journal of Marriage and Family
23,"Aging, Neuropsychology, and Cognition"
269,Exceptional Children
111,Brain Injury
